Mob Mob,Difficulty Easy,Difficulty Normal,Difficulty Hard,Status effect(s) Status effect(s)
Silverfish,1HP,1HP,1.5HP × 0.75,No
Skeleton arrow‌,2HP to 4HP,3HP to 4HP,4HP to 5HP,Normally: No If holding a tipped arrow or a spectral arrow in its off-hand: The effect of the arrow
Skeleton arrow‌,"1HP to 4HP, varies with proximity","1HP to 4HP, varies with proximity","1HP to 5HP, varies with proximity",No
Skeleton (melee),2HP,2HP,3HP,No
Slime (big),3HP,4HP,6HP,No
Slime (medium),2HP,2HP,3HP,No
Slime (small),0HP,0HP,0HP,No
Snow Golem snowball,3HP to blazes,3HP to blazes,3HP to blazes,No
Spider,2HP,2HP,3HP,"No, but can spawn with effects"
Stray arrow‌,3HP to 5HP,3HP to 5HP,3HP to 5HP,Normally: Slowness for 30 seconds when their tipped arrow hits any mob (including another stray) If holding a tipped arrow or a spectral arrow in its off-hand: The effect of the arrow
Stray arrow‌,Damage varies with proximity,Damage varies with proximity,Damage varies with proximity,Normally: Slowness for 30 seconds when their tipped arrow hits any mob (including another stray) If holding a tipped arrow or a spectral arrow in its off-hand: The effect of the arrow
Stray (melee),2HP,2HP,3HP,No
Trader Llama spit,1HP,1HP,1.5HP × 0.75,No
Vex,5.5HP × 2.75,9HP,13.5HP × 6.75,No
Vex (unarmed),3HP,4HP,5HP,No
Villager's firework rocket,5HP,8HP,12HP × 6,No
Vindicator,7.5HP × 3.75,13HP × 6.5,19.5HP × 9.75,No
Vindicator (unarmed),3.5HP × 1.75,5HP,7.5HP × 3.75,No
Warden (melee),16HP × 8,30HP × 15,45HP × 22.5,No
Warden (ranged),6HP,10HP,15HP × 7.5,No
Witch,Deals damage by throwing potions,Deals damage by throwing potions,Deals damage by throwing potions,"Throws splash potions of Poison, Instant Damage, Slowness, and Weakness"
Wither Skeleton,5HP,8HP,12HP × 6,Wither for 10 seconds
Wither Skeleton (unarmed),2HP,2HP,3HP,Wither for 10 seconds
Wither Skeleton arrow,2HP to 4HP + fire for 5 seconds,3HP to 4HP + fire for 5 seconds,4HP to 5HP + fire for 5 seconds,Normally: No If holding a tipped arrow or a spectral arrow in its off-hand: The effect of the arrow
Wither (birth explosion),35.5HP × 17.75,69HP × 34.5,103.5HP × 51.75,No
Wither Skull,5HP,8HP,12HP × 6,Wither II for 10 seconds on Normal difficulty and 40 seconds on Hard difficulty
Wither Skull (explosion),5HP,5HP,5HP,No
Wither (dash attack) ‌,15HP × 7.5,15HP × 7.5,15HP × 7.5,No
Wolf,3HP,4HP,6HP,No
Zoglin,3HP to 5HP,3HP to 8HP,4.5HP × 2.25 to 12HP × 6,No
Zoglin (baby),0.5HP × 0.25,0.5HP × 0.25,0.75HP × 0.375,No
Zombie,2.5HP × 1.25,3HP,4.5HP × 2.25,No
Zombified Piglin,5HP,8HP,12HP × 6,No
Zombified Piglin (unarmed),3HP,5HP,7HP,No
Zombie Villager,2.5HP × 1.25,3HP,4.5HP × 2.25,No
